time_start,long_hg,long_hgi,vsw,target_obj,fin_longhig, finlong_hg, HitOrMiss,Dt,ETA
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,MERCURY,206.09,156.94,1,  9.47,2011-10-30T03:38:51.025
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,VENUS,183.83,134.68,1,  6.69,2011-10-27T09:01:58.619
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,EARTH,380.21,331.06,1, 19.84,2011-11-09T12:44:27.277
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,MARS,387.95,338.80,1, 18.27,2011-11-07T23:03:50.122
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,JUPITER, 96.55, 47.40,1, 33.12,2011-11-22T19:18:09.183
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,SATURN,269.81,220.66,1, 51.51,2011-12-11T04:47:12.322
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,URANUS,253.25,204.10,1, 88.16,2012-01-16T20:14:37.346
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,NEPTUNE,258.04,208.89,1,146.95,2012-03-15T15:22:44.007
2011-10-20T16:28:15.000,  0.00, 49.15,400000.00,PLUTO,200.87,151.72,1,145.07,2012-03-13T18:06:19.632
